
 Lista de Imóveis da Caixa;;Data de geração:;03/06/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso

 10005120 ;AC ;CRUZEIRO DO SUL ;BAIRRO COHAB ;RUA DO PURUS, N. S/N, QUARTEIRÃO 272, LOTE 10 ;64.381,20;150.000,00;57.08;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10005120
 10005121 ;AC ;CRUZEIRO DO SUL ;BAIRRO COHAB ;RUA DO PURUS, N. S/N, QUARTEIRÃO 272 LOTE 11 ;64.381,20;150.000,00;57.08;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10005121
 10005122 ;AC ;CRUZEIRO DO SUL ;BAIRRO COHAB ;RUA DO PURUS, N. S/N, QUARTEIRÃO 272 LOTE 12 ;64.381,20;150.000,00;57.08;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10005122
 1444420699441 ;AC ;CRUZEIRO DO SUL ;CENTRO ; AVENIDA 17 DE NOVEMBRO, N. SN, QD 27 LT 18 ;278.616,46;507.000,00;45.05;Sim;Casa, 0.00 de área total, 240.00 de área privativa, 300.00 de área do terreno,  3 qto(s), WC, 3 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444420699441
 8444411200837 ;AC ;CRUZEIRO DO SUL ;TELEGRAFO ; RUA SERGIPE, N. 791, SETOR 03 B QD 295 LT 16 ;110.621,14;190.000,00;41.78;Não;Casa, 111.70 de área total, 111.70 de área privativa, 300.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444411200837
 1555509099755 ;AC ;PLACIDO DE CASTRO ;CENTRO ;RUA EPITACIO PESSOA, N. SN, RUA PROJETADA ;564.023,16;885.000,00;36.27;Sim;Terreno, 0.00 de área total, 0.00 de área privativa, 1800.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555509099755
 8444400929075 ;AC ;PORTO ACRE ;CORONEL JOSE CANDIDO ; RUA LUIZ GALVEZ, N. SN,  QD 46 LT 05 ;71.733,93;138.000,00;48.02;Sim;Casa, 0.00 de área total, 258.00 de área privativa, 580.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444400929075
 1444400380830 ;AC ;RIO BRANCO ;VILA IVONETE ;RUA CAMPINA GRANDE, N. 56,  LT 02, QD A ;325.327,31;592.000,00;45.05;Sim;Casa, 0.00 de área total, 83.99 de área privativa, 450.00 de área do terreno,  3 qto(s), a.serv, WC, 2 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444400380830
 10151420 ;AC ;RIO BRANCO ;FLORESTA SUL ;ESTRADA DA FLORESTA ;5.140.443,96;9.226.000,00;44.29;Sim;Gleba, 0.00 de área total, 0.00 de área privativa, 49338.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10151420
 1444406697321 ;AC ;RIO BRANCO ;LOT NOVA ESPERANÇA ;RUA BENZINHO, N. SN, QD 06, LT 38 ;180.105,02;314.000,00;42.65;Não;Casa, 144.00 de área total, 144.00 de área privativa, 200.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444406697321
 1444405129400 ;AC ;RIO BRANCO ;NOVO HORIZONTE ;RUA ADEMAR DE BARROS, N. 74, ;216.814,32;378.000,00;42.65;Não;Casa, 182.84 de área total, 182.84 de área privativa, 440.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444405129400
 1555528608775 ;AC ;RIO BRANCO ;ABRAAO ALAB ;RUA ARI RODRIGUES, N. SN, ;182.749,87;310.000,00;41.05;Sim;Terreno, 0.00 de área total, 0.00 de área privativa, 630.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555528608775
 1600000161288 ;AC ;RIO BRANCO ;ESTACAO EXPERIMENTAL ; RUA BOA VISTA, N. SN, ;521.512,86;876.000,00;40.47;Não;Casa, 310.94 de área total, 173.15 de área privativa, 630.00 de área do terreno,  4 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1600000161288
 1444409370650 ;AC ;RIO BRANCO ;LOT SANTO AFONSO I ;RUA NONATO CORREIA LIMA, N. SN, QD40 LT16 ;252.472,05;417.000,00;39.46;Sim;Casa, 129.42 de área total, 129.42 de área privativa, 312.50 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444409370650
 1444405651913 ;AC ;RIO BRANCO ;CONJUNTO OURICURI ;RUA EMA, N. SN, LT 11 QD 38A ;190.110,85;314.000,00;39.46;Não;Casa, 200.00 de área total, 98.95 de área privativa, 300.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s).;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444405651913
 1444411609940 ;AC ;RIO BRANCO ;LOTEAMENTO JAGUAR ;RUA PINTASSILGO, N. SN, QD15 LT29 ;229.465,01;379.000,00;39.46;Sim;Casa, 115.93 de área total, 115.93 de área privativa, 300.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444411609940
 8444410362442 ;AC ;RIO BRANCO ;MOCINHA MAGALHAES ;RUA DA PITANGA, N. 317, ;156.811,18;259.000,00;39.46;Não;Casa, 143.95 de área total, 143.95 de área privativa, 283.80 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444410362442
 1444409580107 ;AC ;RIO BRANCO ;TANCREDO NEVES ; RUA JORGE AMADO, N. 25, LT 02, QD 25 ;128.260,73;209.000,00;38.64;Não;Casa, 67.44 de área total, 67.44 de área privativa, 300.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444409580107
 1444403168387 ;AC ;RIO BRANCO ;Santo Afonso I ;R RAIMUNDO P DE MORAES, N. 14, LT 14 QD 55 ;211.269,68;340.000,00;37.87;Sim;Casa, 0.00 de área total, 138.20 de área privativa, 400.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444403168387
 1444400373710 ;AC ;RIO BRANCO ;HABITASA ;RUA PERU, N. 24, QDF LT24 ;150.374,30;242.000,00;37.87;Não;Casa, 140.78 de área total, 233.18 de área privativa, 300.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444400373710
 1444405193516 ;AC ;RIO BRANCO ;NOVA ESPERANCA ;RUA BENZINHO, N. S/N, QD 05 - LT 09 ;253.523,62;408.000,00;37.87;Não;Casa, 163.83 de área total, 163.83 de área privativa, 200.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444405193516
 1334000000077 ;AC ;RIO BRANCO ;VILA IVONETE ;RUA ABRAIM FARHAT, N. 110, LT 17 QD E ;613.733,67;963.000,00;36.27;Não;Casa, 341.42 de área total, 341.42 de área privativa, 300.00 de área do terreno,  4 qto(s), a.serv, WC, WC Emp, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1334000000077
 8444410565890 ;AC ;RIO BRANCO ;WALDEMAR MACIEL ;RUA JOAO PESSOA, N. SN, QUADRA 17 LOTE 22 ;199.000,00;199.000,00;0.00;Não;Casa, 67.45 de área total, 67.45 de área privativa, 200.00 de área do terreno, a.serv.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444410565890
 1555526656330 ;AC ;RIO BRANCO ;Floresta ;RUA VIOLETA, N. SN, Apto 101, BL 09 ;318.204,46;290.000,00;0.00;Não;Apartamento, 90.96 de área total, 62.45 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555526656330
 8444404538437 ;AL ;ARAPIRACA ;BOA VISTA ; RUA PROJETADA G, N. 212, LT50 LOTEAMENTO RECANTO DA BOA VISTA ;89.200,83;185.000,00;51.79;Não;Casa, 0.00 de área total, 94.40 de área privativa, 171.78 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404538437
 8444405471964 ;AL ;ARAPIRACA ;BOA VISTA ; RUA PROJETADA F, N. 55, ;88.934,20;172.010,35;48.30;Não;Casa, 0.00 de área total, 120.73 de área privativa, 181.20 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444405471964
 8444402891997 ;AL ;ARAPIRACA ;BOA VISTA ;RUA EXISTENTE, N. 703, LT 03 QD E ;140.304,74;238.000,00;41.05;Sim;Casa, 98.74 de área total, 98.74 de área privativa, 157.50 de área do terreno,  1 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402891997
 8555507349060 ;AL ;ARAPIRACA ;BOA VISTA ;RUA ANTÔNIO SATURNINO DE ALMEIDA, N. 61, LT 15, QD E ;106.074,43;179.000,00;40.75;Sim;Casa, 0.00 de área total, 88.69 de área privativa, 176.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555507349060
 8555508022480 ;AL ;ARAPIRACA ;SENADOR ARNON DE MELO ;RUA PROJETADA B, N. 333, LT 01 QD L ;142.066,35;235.048,28;39.56;Não;Casa, 101.95 de área total, 101.95 de área privativa, 225.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555508022480
 1444408877645 ;AL ;ARAPIRACA ;MASSARANDUBA ;RUA PEDRO GALDINO DOS SANTOS, N. 19, LT 01 QD F ;275.482,39;432.255,15;36.27;Sim;Casa, 249.73 de área total, 80.30 de área privativa, 319.73 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444408877645
 8444423586611 ;AL ;ARAPIRACA ;BOA VISTA ;RUA LUIZ TERTULIANO DA SILVA, N. 44, LT 10 QD G ;165.000,00;165.000,00;0.00;Não;Casa, 66.35 de área total, 66.35 de área privativa, 150.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444423586611
 8444427737878 ;AL ;ARAPIRACA ;MASSARANDUBA ; RUA PROJETADA 13, N. SN, QD O LT 14 ;145.729,27;128.500,00;0.00;Não;Casa, 70.00 de área total, 70.00 de área privativa, 135.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427737878
